tool_or_paper,category,citation,doi_or_id,open_source,license_or_access,what_it_does_differently,published_as_better,would_help_here,priority
LinkInvent,reinvent_mode,"Guo et al., Digital Discovery 2023",10.1039/D2DD00115B,yes,Apache-2.0 (in REINVENT4),RNN linker design between two warheads/fragments,yes vs earlier linkers,no - no fragment-linking problem exists in the current design,skip_for_now
staged_learning RL,reinvent_mode,"Loeffler et al., J Cheminform 2024",10.1186/s13321-024-00812-5,yes,Apache-2.0,multi-stage curriculum RL with per-stage scoring profiles,yes - the standard way to run REINVENT,"CONDITIONAL - harmful against the current Vina objective (worsens D0043); valuable once a validated scorer exists",conditional
Augmented Memory,rl_improvement,"Guo & Schwaller, JACS Au 2024",10.1021/jacsau.4c00066,yes,MIT (schwallergroup/augmented-memory),sample-efficient replay for REINVENT-style RL,yes - large sample-efficiency gains,conditional on the same objective fix,conditional
DiffLinker,fragment_linking,"Igashov et al., Nat Mach Intell 2024",10.1038/s42256-024-00815-9,yes,MIT (igashov/DiffLinker),3D pocket-conditioned diffusion linker of variable length; any number of fragments,yes vs DeLinker/3DLinker,no - unless the campaign pivots to fragment linking,skip_for_now
SAFE-GPT,fragment_generative,"Noutahi et al., Digital Discovery 2024",10.1039/D4DD00035H,yes,Apache-2.0 (datamol-io/safe),SMILES reframed so linking/decoration/superstructure are all conditional generation,yes - unifies fragment tasks,"marginal - elegant, but solves a problem you do not have yet",low
f-RAG,fragment_generative,"Lee et al., NeurIPS 2024",arXiv:2411.12078,yes,MIT (NVlabs/f-RAG),retrieval-augmented fragment injection over SAFE-GPT; hard + soft fragments,"YES - best PMO AUC top-10 (12/23 tasks) with good diversity/novelty/SA",no - a PMO-oracle result; same objective problem,skip_for_now
Sulfopin discovery paper,PIN1_ACTIVES,"Dubiella et al., Nat Chem Biol 17:954-963 (2021)",10.1038/s41589-021-00786-7 / PMID 33972797,n/a,"paper paywalled; Supplementary Dataset 1 is free","ELECTROPHILIC FRAGMENT SCREEN: 111 fragments labelling Pin1 >50%; 48 at >75%; 11% hit rate; 9 chloroacetamides sharing the cyclic sulfone core",n/a,"YES - THE HIGHEST-VALUE ITEM. Directly attacks the D0041/D0031 actives shortage that no compute can fix",DO_FIRST
Pyrimidine covalent Pin1 inhibitors,PIN1_ACTIVES,"ACS Med Chem Lett 2025",10.1021/acsmedchemlett.4c00477,n/a,paywalled,"sulfolane amino 2-chloro-5-nitropyrimidines; X-ray co-crystals at Cys113; IC50 11.55 and 3.15 uM",n/a,"YES - possible sNAr actives with structures; CHECK FOR OVERLAP with the Tian 2025 set already in the reference file (D0031)",DO_FIRST
Pin1 covalent inhibitor (computational/structure-based),PIN1_ACTIVES,"J Med Chem 2021",10.1021/acs.jmedchem.1c01686,n/a,paywalled,high-potency cell-active covalent Pin1 inhibitor developed by structure-based design,n/a,check whether the chemotype is already in pin1_reference_binders_3.csv,read
Liu-2024-C3 (incumbent 6th chemotype),PIN1_ACTIVES,"PMID 39229909; co-crystal PDB 9INR",PMID:39229909,n/a,n/a,"non-covalent Pin1 binder, Kd 130 nM - the chemotype that took D0041's gate to its power floor",n/a,already in the reference set (D0041),in_use
6VAJ receptor,structure,"PDB 6VAJ - Pin1 + sulfopin/QT7, 1.42 A",PDB:6VAJ,yes,public,the project's shared receptor,n/a,in use,in_use
9INR,structure,"PDB 9INR - Pin1 + Liu-2024-C3 co-crystal",PDB:9INR,yes,public,co-crystal for the sixth non-covalent chemotype,n/a,in use,in_use
